Ticker,Company Name,Industry,Sector,X-Spot-Id,X-Post-Id,Conversation Id
MSFT,Microsoft Corporation,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$21835,sp_Rba9aFpG_finmb$21835
MSTR,MicroStrategy Incorporated,Software Application,Technology,sp_Rba9aFpG,finmb$384976,sp_Rba9aFpG_finmb$384976
MU,"Micron Technology, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$289030,sp_Rba9aFpG_finmb$289030
NCNO,"nCino, Inc.",Software Application,Technology,sp_Rba9aFpG,finmb$226872615,sp_Rba9aFpG_finmb$226872615
NEON,Neonode Inc.,Electronic Components,Technology,sp_Rba9aFpG,finmb$32872503,sp_Rba9aFpG_finmb$32872503
NOW,"ServiceNow, Inc.",Software Application,Technology,sp_Rba9aFpG,finmb$22967487,sp_Rba9aFpG_finmb$22967487
NTAP,"NetApp, Inc.",Computer Hardware,Technology,sp_Rba9aFpG,finmb$32052,sp_Rba9aFpG_finmb$32052
NTNX,"Nutanix, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$126751161,sp_Rba9aFpG_finmb$126751161
NVDA,NVIDIA Corporation,Semiconductors,Technology,sp_Rba9aFpG,finmb$32307,sp_Rba9aFpG_finmb$32307
NVMI,Nova Ltd.,Semiconductor Equipment & Materials,Technology,sp_Rba9aFpG,finmb$124752,sp_Rba9aFpG_finmb$124752
NXT,Nextracker Inc.,Solar,Technology,sp_Rba9aFpG,finmb$257530966,sp_Rba9aFpG_finmb$257530966
ODD,Oddity Tech Ltd.,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$631253332,sp_Rba9aFpG_finmb$631253332
OKTA,"Okta, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$109373551,sp_Rba9aFpG_finmb$109373551
OLED,Universal Display Corporation,Electronic Components,Technology,sp_Rba9aFpG,finmb$391070,sp_Rba9aFpG_finmb$391070
ON,ON Semiconductor Corporation,Semiconductors,Technology,sp_Rba9aFpG,finmb$411950,sp_Rba9aFpG_finmb$411950
ONTO,Onto Innovation Inc.,Semiconductor Equipment & Materials,Technology,sp_Rba9aFpG,finmb$33946,sp_Rba9aFpG_finmb$33946
ORCL,Oracle Corporation,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$22247,sp_Rba9aFpG_finmb$22247
OS,"OneStream, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$422612625,sp_Rba9aFpG_finmb$422612625
OUST,"Ouster, Inc.",Electronic Components,Technology,sp_Rba9aFpG,finmb$543805915,sp_Rba9aFpG_finmb$543805915
PAGS,PagSeguro Digital Ltd.,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$547797906,sp_Rba9aFpG_finmb$547797906
PANW,"Palo Alto Networks, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$25460099,sp_Rba9aFpG_finmb$25460099
PAR,PAR Technology Corporation,Software Application,Technology,sp_Rba9aFpG,finmb$294978,sp_Rba9aFpG_finmb$294978
PATH,UiPath Inc.,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$343303132,sp_Rba9aFpG_finmb$343303132
PAYO,Payoneer Global Inc.,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$33370862,sp_Rba9aFpG_finmb$33370862
PD,"PagerDuty, Inc.",Software Application,Technology,sp_Rba9aFpG,finmb$116060746,sp_Rba9aFpG_finmb$116060746
PGY,Pagaya Technologies Ltd.,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$716669374,sp_Rba9aFpG_finmb$716669374
PI,"Impinj, Inc.",Communication Equipment,Technology,sp_Rba9aFpG,finmb$427445,sp_Rba9aFpG_finmb$427445
PLTR,Palantir Technologies Inc.,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$43580005,sp_Rba9aFpG_finmb$43580005
PLUS,ePlus inc.,Software Application,Technology,sp_Rba9aFpG,finmb$31639,sp_Rba9aFpG_finmb$31639
PSFE,Paysafe Limited,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$557356178,sp_Rba9aFpG_finmb$557356178
QCOM,QUALCOMM Incorporated,Semiconductors,Technology,sp_Rba9aFpG,finmb$33493,sp_Rba9aFpG_finmb$33493
QXO,"QXO, Inc.",Software Application,Technology,sp_Rba9aFpG,finmb$9794870,sp_Rba9aFpG_finmb$9794870
RAMP,"LiveRamp Holdings, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$24292,sp_Rba9aFpG_finmb$24292
RELL,"Richardson Electronics, Ltd.",Electronic Components,Technology,sp_Rba9aFpG,finmb$300246,sp_Rba9aFpG_finmb$300246
RELY,"Remitly Global, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$142458416,sp_Rba9aFpG_finmb$142458416
RUM,Rumble Inc.,Software Application,Technology,sp_Rba9aFpG,finmb$608737847,sp_Rba9aFpG_finmb$608737847
RUN,Sunrun Inc.,Solar,Technology,sp_Rba9aFpG,finmb$44576381,sp_Rba9aFpG_finmb$44576381
S,"SentinelOne, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$243722644,sp_Rba9aFpG_finmb$243722644
SEDG,"SolarEdge Technologies, Inc.",Solar,Technology,sp_Rba9aFpG,finmb$39461021,sp_Rba9aFpG_finmb$39461021
SMCI,"Super Micro Computer, Inc.",Computer Hardware,Technology,sp_Rba9aFpG,finmb$6479558,sp_Rba9aFpG_finmb$6479558
SMTC,Semtech Corporation,Semiconductors,Technology,sp_Rba9aFpG,finmb$302594,sp_Rba9aFpG_finmb$302594
SNOW,Snowflake Inc.,Software Application,Technology,sp_Rba9aFpG,finmb$275004592,sp_Rba9aFpG_finmb$275004592
SNPS,"Synopsys, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$35028,sp_Rba9aFpG_finmb$35028
SOUN,"SoundHound AI, Inc.",Software Application,Technology,sp_Rba9aFpG,finmb$28748353,sp_Rba9aFpG_finmb$28748353
SQ,"Block, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$83920810,sp_Rba9aFpG_finmb$83920810
STNE,StoneCo Ltd.,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$584499446,sp_Rba9aFpG_finmb$584499446
TASK,"TaskUs, Inc.",Software Application,Technology,sp_Rba9aFpG,finmb$250281193,sp_Rba9aFpG_finmb$250281193
TDY,Teledyne Technologies Incorporated,Scientific & Technical Instruments,Technology,sp_Rba9aFpG,finmb$406526,sp_Rba9aFpG_finmb$406526
TEL,TE Connectivity plc,Electronic Components,Technology,sp_Rba9aFpG,finmb$8106523,sp_Rba9aFpG_finmb$8106523
TOST,"Toast, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$308700964,sp_Rba9aFpG_finmb$308700964
TTD,"The Trade Desk, Inc.",Software Application,Technology,sp_Rba9aFpG,finmb$99942756,sp_Rba9aFpG_finmb$99942756
TWLO,Twilio Inc.,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$53507768,sp_Rba9aFpG_finmb$53507768
TXN,Texas Instruments Incorporated,Semiconductors,Technology,sp_Rba9aFpG,finmb$140283,sp_Rba9aFpG_finmb$140283
U,Unity Software Inc.,Software Application,Technology,sp_Rba9aFpG,finmb$241908542,sp_Rba9aFpG_finmb$241908542
UBER,"Uber Technologies, Inc.",Software Application,Technology,sp_Rba9aFpG,finmb$144524848,sp_Rba9aFpG_finmb$144524848
UI,Ubiquiti Inc.,Communication Equipment,Technology,sp_Rba9aFpG,finmb$46084519,sp_Rba9aFpG_finmb$46084519
UIS,Unisys Corporation,Software Application,Technology,sp_Rba9aFpG,finmb$310310,sp_Rba9aFpG_finmb$310310
VSAT,"Viasat, Inc.",Communication Equipment,Technology,sp_Rba9aFpG,finmb$359638,sp_Rba9aFpG_finmb$359638
WDAY,"Workday, Inc.",Software Application,Technology,sp_Rba9aFpG,finmb$23815047,sp_Rba9aFpG_finmb$23815047
WDC,Western Digital Corporation,Computer Hardware,Technology,sp_Rba9aFpG,finmb$314057,sp_Rba9aFpG_finmb$314057
WK,Workiva Inc.,Software Application,Technology,sp_Rba9aFpG,finmb$75963230,sp_Rba9aFpG_finmb$75963230
WOLF,"Wolfspeed, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$197012,sp_Rba9aFpG_finmb$197012
ZM,"Zoom Video Communications, Inc.",Software Application,Technology,sp_Rba9aFpG,finmb$223236753,sp_Rba9aFpG_finmb$223236753
ZS,"Zscaler, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$58838228,sp_Rba9aFpG_finmb$58838228
