Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized Sentiment
2024-10-18,BAND,Technology,Software Infrastructure,510.863M,18.020000457763672,19.35700035095215,17.8799991607666,19.299999237060547,19.299999237060547,334800,0.0,0.9991254568099976,5.0,0.0,0.0,0.0
2024-10-21,BAND,Technology,Software Infrastructure,510.863M,19.209999084472656,19.700000762939453,18.709999084472656,18.969999313354492,18.969999313354492,280500,-2.0,0.9455739998817444,25.0,-0.08,-561000.0,-1.6917973462002414
2024-10-22,BAND,Technology,Software Infrastructure,510.863M,18.940000534057617,19.170000076293945,18.739999771118164,18.780000686645508,18.780000686645508,209000,-9.0,0.9493656049645136,189.0,-0.0476190476190476,-1881000.0,-5.672496984318456
2024-10-23,BAND,Technology,Software Infrastructure,510.863M,18.63999938964844,18.65399932861328,17.510000228881836,17.850000381469727,17.850000381469727,164700,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-24,BAND,Technology,Software Infrastructure,510.863M,17.959999084472656,18.13999938964844,17.559999465942383,17.690000534057617,17.690000534057617,241100,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-25,BAND,Technology,Software Infrastructure,510.863M,17.799999237060547,17.940000534057617,17.55500030517578,17.8799991607666,17.8799991607666,170400,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28,BAND,Technology,Software Infrastructure,510.863M,18.079999923706055,18.59000015258789,18.05500030517578,18.299999237060547,18.299999237060547,166400,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29,BAND,Technology,Software Infrastructure,510.863M,18.010000228881836,19.030000686645508,17.850000381469727,19.010000228881836,19.010000228881836,254700,-5.0,0.940758422927092,262.0,-0.0190839694656488,-1273500.0,-1273500.0
2024-10-30,BAND,Technology,Software Infrastructure,510.863M,18.93000030517578,19.415000915527344,18.78499984741211,18.84000015258789,18.84000015258789,262200,1.0,0.9999606609344482,2.0,0.5,262200.0,1.0
2024-10-31,BAND,Technology,Software Infrastructure,510.863M,22.875,23.0,19.493000030517575,19.5,19.5,900200,0.0,0.0,0.0,0.0,0.0,0.0
